"","LocationAbbr","Income","perc_strength","propstrength","adjstrength","perc_cardio","propcardio","adjcardio","perc_obese","prop_obese","adjobese","perc_excer","prop_excer","adjexcer","perc_fruit","prop_fruit","adjfruit","perc_veg","prop_veg","adjveg"
"40","DC","$75,000 or greater",42.6,0.556942277691108,23.7257410296412,69.5,0.55878836189717,38.8357911518533,12.5,0.541159099298634,6.76448874123293,33.2,0.562323517547398,18.6691407825736,32.7,0.556760945370012,18.2060829135994,10.1,0.556773688332028,5.62341425215349
"41","DE","$15,000 - $24,999",29,0.18682505399568,5.41792656587473,35.3,0.18640350877193,6.58004385964912,40.6,0.190135811293781,7.71951393852752,13.6,0.185144124168514,2.5179600886918,41.3,0.185238784370478,7.65036179450072,26.6,0.183726067746686,4.88711340206186
"42","DE","$25,000 - $34,999",36.3,0.129589632829374,4.70410367170626,48,0.128289473684211,6.15789473684211,33.2,0.129735525375268,4.3072194424589,20.9,0.127864005912786,2.67235772357724,40.9,0.128437047756874,5.25307525325615,19.2,0.126288659793814,2.42474226804124
"43","DE","$35,000 - $49,999",31.2,0.155507559395248,4.85183585313175,48.2,0.156067251461988,7.52244152046784,31.1,0.156897784131523,4.87952108649035,18.7,0.155580192165558,2.90934959349593,38.4,0.158465991316932,6.08509406657019,21,0.153902798232695,3.2319587628866
"44","DE","$50,000 - $74,999",27.3,0.172786177105832,4.7170626349892,47.3,0.172880116959064,8.17722953216374,30.2,0.168334524660472,5.08370264474625,19.1,0.173318551367332,3.31038433111604,39.8,0.171852387843705,6.83972503617945,21,0.174521354933726,3.66494845360825
"45","DE","$75,000 or greater",37.5,0.355291576673866,13.32343412527,60.1,0.356359649122807,21.4172149122807,26,0.354896354538956,9.22730521801287,28.1,0.358093126385809,10.0624168514412,33.2,0.356005788712012,11.8193921852388,14.5,0.361561119293078,5.24263622974963
"46","FL","$15,000 - $24,999",25.2,0.198563130541119,5.0037908896362,47,0.197513597513598,9.28313908313908,30,0.205079825834543,6.15239477503628,17.4,0.195979899497487,3.41005025125628,40.8,0.200150943396226,8.16615849056604,27.7,0.199846743295019,5.53575478927203
"47","FL","$25,000 - $34,999",28.4,0.123968205441761,3.52069703454601,47.7,0.124164724164724,5.92265734265734,28.7,0.122931785195936,3.52814223512337,16.9,0.123900753768844,2.09392273869347,44.4,0.12422641509434,5.51565283018868,23.1,0.123218390804598,2.84634482758621
"48","FL","$35,000 - $49,999",29.9,0.173035768878019,5.17376948945277,49.5,0.171872571872572,8.50769230769231,29.1,0.172568940493469,5.02175616835994,19.3,0.172424623115578,3.32779522613065,34.8,0.17177358490566,5.97772075471698,19.5,0.170574712643678,3.32620689655172
"49","FL","$50,000 - $74,999",37.1,0.173188627331091,6.42529807398349,56.3,0.175291375291375,9.86890442890443,27.1,0.171843251088534,4.65695210449927,24.4,0.175251256281407,4.27613065326633,35.3,0.174188679245283,6.14886037735849,16.7,0.173793103448276,2.90234482758621
